"País","ISO3","Estado","Producto","Actualización Completo","Actualización regla","Nota"
"Sri Lanka","","Inactivo","lka_tourist_30_days","","",""
"Sri Lanka","","Inactivo","lka_tourist_60_days","","",""
"Sri Lanka","","Activo","lka_tourist_eta","01/09/2025","","https://visagov.atlassian.net/browse/PRO-609"
"Sri Lanka","","Activo","lka_tourist_eta_urgent","01/09/2025","","https://visagov.atlassian.net/browse/PRO-609"
"Sri Lanka","","Activo","lka_transit","30/09/2025","","https://visagov.atlassian.net/browse/PRO-72"
"Sri Lanka","","Inactivo","tourist_6_month","","",""
"Madagascar","","Activo","mdg_tourist-15","27/08/2025","","https://visagov.atlassian.net/browse/PRO-496"
"Madagascar","","Activo","mdg_tourist-30","27/08/2025","","https://visagov.atlassian.net/browse/PRO-496"
"Madagascar","","Activo","mdg_tourist-60","27/08/2025","","https://visagov.atlassian.net/browse/PRO-496"
"México","","Activo","mex_tourist_180_land","16/06/2025","","https://visagov.atlassian.net/browse/VIS-1213"
"Myanmar","","Activo","mmr_business","21/08/2025","","https://visagov.atlassian.net/browse/PRO-494"
"Myanmar","","Activo","mmr_tourist","21/08/2025","","https://visagov.atlassian.net/browse/PRO-494"
"Montserrat","","Inactivo","msr_tourist","","",""
"Nepal","","Activo","npl_tourist-15","09/12/2025","26/01/2026","https://visagov.atlassian.net/browse/PRO-923"
"Nepal","","Activo","npl_tourist-30","09/12/2025","26/01/2026","https://visagov.atlassian.net/browse/PRO-923"
"Nepal","","Activo","npl_tourist-90","09/12/2025","26/01/2026","https://visagov.atlassian.net/browse/PRO-923"
"Nueva Zelanda","","Activo","nzl_tourist","04/06/2025","22/07/2025","https://visagov.atlassian.net/browse/PRO-344"
"Nueva Zelanda","","Inactivo","nzl_transit","","",""
"Nueva Zelanda","","Inactivo","nzl_urgent","","",""
"Omán","","Activo","omn_multiple_1_year","26/02/2025","02/04/2025","https://visagov.atlassian.net/browse/VIS-966"
"Omán","","Activo","omn_simple_30_days","26/02/2025","07/01/2026","https://visagov.atlassian.net/browse/PRO-915"
"Papúa Nueva Guinea","","Activo","png_easy-visitor-30","06/08/2025","","https://visagov.atlassian.net/browse/PRO-499"
