"País","ISO3","Estado","Implementación","Nota"
"Malta","MLT","No implementado","",""
"Marruecos","MAR","No implementado","",""
"Martinica","MTQ","No implementado","",""
"Mauricio","MUS","No implementado","",""
"Mauritania","MRT","No implementado","",""
"Mayotte","MYT","No implementado","",""
"Micronesia","FSM","No implementado","",""
"Moldavia","MDA","No implementado","",""
"Mongolia","MNG","No implementado","",""
"Montenegro","MNE","No implementado","",""
"Montserrat","MSR","Inactivo","eVisa","ID 34"
"Mozambique","MOZ","No implementado","",""
"Myanmar","MMR","Activo","eVisa","ID 12"
"México","MEX","Activo","FMM","ID 39"
"Mónaco","MCO","No implementado","",""
"Namibia","NAM","No implementado","",""
"Nauru","NRU","No implementado","",""
"Nepal","NPL","Activo","Pre-visa","ID 35"
"Nicaragua","NIC","No implementado","",""
"Nigeria","NGA","No implementado","",""
"Niue","NIU","No implementado","",""
"Noruega","NOR","No implementado","",""
"Nueva Caledonia","NCL","No implementado","",""
"Nueva Zelanda","NZL","Activo","NZeTA","ID 26"
"Níger","NER","No implementado","",""
"Omán","OMN","Activo","eVisa","ID 13"
"Pakistán","PAK","No implementado","",""
"Palau","PLW","No implementado","",""
"Palestina","PSE","No implementado","",""
"Panamá","PAN","No implementado","",""
"Papúa Nueva Guinea","PNG","Activo","eVisa","ID 37"
"Paraguay","PRY","No implementado","",""
"Países Bajos","NLD","No implementado","",""
"Perú","PER","No implementado","",""
"Polinesia Francesa","PYF","No implementado","",""
"Polonia","POL","No implementado","",""
"Portugal","PRT","No implementado","",""
"Puerto Rico","PRI","Activo","ESTA","ID 38"
"Reino Unido","GBR","Activo","eTA","ID 53"
"República Centroafricana","CAF","No implementado","",""
"República Democrática del Congo","COD","No implementado","",""
"República Dominicana","DOM","Activo","e-Ticket","ID 47"
"República Eslovaca","SVK","No implementado","",""
"Reunión","REU","No implementado","",""
"Ruanda","RWA","Activo","eVisa","ID 14"
"Rumania","ROU","No implementado","",""
"Rusia","RUS","Inactivo","eVisa","ID 25"
"Sahara Occidental","ESH","No implementado","",""
"Saint Martin","MAF","No implementado","",""
"Samoa","WSM","No implementado","",""
"Samoa Americana","ASM","No implementado","",""
"San Bartolomé","BLM","No implementado","",""
"San Cristóbal y Nieves","KNA","No implementado","",""
"San Marino","SMR","No implementado","",""
"San Pedro y Miquelón","SPM","No implementado","",""
"San Vicente y Granadinas","VCT","No implementado","",""
"Santa Elena, Ascensión y Tristán de Acuña","SHN","No implementado","",""
"Santa Lucía","LCA","No implementado","",""
"Santo Tomé y Príncipe","STP","No implementado","",""
"Senegal","SEN","No implementado","",""
"Serbia","SRB","No implementado","",""
"Seychelles","SYC","No implementado","",""
"Sierra Leone","SLE","Inactivo","eVisa","ID 50"
"Singapur","SGP","Activo","SG Arrival Card","ID 22"
"Sint Maarten","SXM","No implementado","",""
"Siria","SYR","No implementado","",""
"Somalia","SOM","No implementado","",""
"Sri Lanka","LKA","Activo","eTA","ID 11"
"Suazilandia","SWZ","No implementado","",""
"Sudáfrica","ZAF","No implementado","",""
"Sudán","SDN","No implementado","",""
"Sudán del Sur","SSD","No implementado","",""
"Suecia","SWE","No implementado","",""
"Suiza","CHE","No implementado","",""
"Surinam","SUR","No implementado","",""
"Tailandia","THA","Activo","eVisa","ID 46"
"Taiwán","TWN","No implementado","",""
"Tanzania","TZA","Activo","eVisa","ID 42"
"Tayikistán","TJK","Inactivo","eVisa","ID 41"
"Territorio Británico del Océano Índico","IOT","No implementado","",""
"Tierras Australes y Antárticas Francesas","ATF","No implementado","",""
"Timor Oriental","TLS","No implementado","",""
"Togo","TGO","No implementado","",""
"Tonga","TON","No implementado","",""
"Trinidad y Tobago","TTO","No implementado","",""
"Turkmenistán","TKM","No implementado","",""
"Turquía","TUR","Activo","eVisa","ID 15"
"Tuvalu","TUV","No implementado","",""
"Túnez","TUN","No implementado","",""
"Ucrania","UKR","No implementado","",""
"Uganda","UGA","Activo","eVisa","ID 16"
"Uruguay","URY","No implementado","",""
"Uzbekistán","UZB","No implementado","",""
"Vanuatu","VUT","No implementado","",""
"Venezuela","VEN","No implementado","",""
"Vietnam","VNM","Activo","eVisa","ID 18"
"Wallis y Futuna","WLF","No implementado","",""
"Yemen","YEM","No implementado","",""
"Yibuti","DJI","Activo","eVisa","ID 19"
"Zambia","ZMB","Activo","eVisa","ID 23"
"Zimbabue","ZWE","Activo","eVisa","ID 24"
